year,semester,HU_price_with_tax_euro95_HUF,HU_price_with_tax_diesel_HUF,year_semester,HU_consumption_euro95,HU_consumption_diesel,diesel_consumption_relative,gasoline_consumption_relative,fuel_price_HUF
2005,S1,249.79792772000002,242.275099484,2005_S1,1364,2453,0.6426512968299711,0.35734870317002887,244.9633723983055
2005,S2,271.5151924375,263.3579089666667,2005_S2,1364,2453,0.6426512968299711,0.35734870317002887,266.2729036363593
2006,S1,274.93436688750006,267.1496118333334,2006_S1,1465,2699,0.6481748318924111,0.3518251681075889,269.888484588942
2006,S2,280.730647036,275.490219432,2006_S2,1465,2699,0.6481748318924111,0.3518251681075889,277.3339337547329
2007,S1,267.47844098749994,252.37674669999998,2007_S1,1507,2825,0.6521237303785781,0.34787626962142193,257.6302677736986
2007,S2,284.818202132,272.88342795999995,2007_S2,1507,2825,0.6521237303785781,0.34787626962142193,277.03525267772943
2008,S1,300.82856720800004,313.29514868800004,2008_S1,1501,2936,0.6617083615055217,0.3382916384944783,309.0778084127059
2008,S2,288.1559794375001,306.11083922916674,2008_S2,1501,2936,0.6617083615055217,0.3382916384944783,300.0368602913052
2009,S1,260.690911768,255.47203614799997,2009_S1,1483,2877,0.6598623853211009,0.34013761467889914,257.24717205269263
2009,S2,297.3790777440001,279.447449568,2009_S2,1483,2877,0.6598623853211009,0.34013761467889914,285.5466708030936
2010,S1,330.6428733680001,309.94523010000006,2010_S1,1340,2799,0.6762503020053153,0.32374969799468467,316.6460858572168
2010,S2,343.01793007500004,329.1585310166667,2010_S2,1340,2799,0.6762503020053153,0.32374969799468467,333.64550727618996
2011,S1,374.74479468400006,366.52406872800003,2011_S1,1244,2790,0.6916212196331185,0.3083787803668815,369.05916617204167
2011,S2,390.43291174583334,392.5780154041667,2011_S2,1244,2790,0.6916212196331185,0.3083787803668815,391.9165109542493
2012,S1,431.0354327208333,438.1590271416666,2012_S1,1149,2519,0.6867502726281353,0.31324972737186474,435.92756313143286
2012,S2,423.471824972,431.149092308,2012_S2,1149,2519,0.6867502726281353,0.31324972737186474,428.74419040803707
2013,S1,421.9800679400001,425.9175282760001,2013_S1,1171,2603,0.6897191308956014,0.31028086910439856,424.69580966088193
2013,S2,413.8755651080001,426.3128513000001,2013_S2,1171,2603,0.6897191308956014,0.31028086910439856,422.4537993310462
2014,S1,412.98269157999994,422.862482172,2014_S1,1216,2722,0.6912138141188421,0.3087861858811579,419.81173931779176
2014,S2,404.7457576916668,412.5098043958335,2014_S2,1216,2722,0.6912138141188421,0.3087861858811579,410.1123740270507
2015,S1,363.8904644840001,369.6101277240001,2015_S1,1288,3021,0.7010907403109771,0.29890925968902293,367.9004674192612
2015,S2,353.1911670458335,349.89877916666677,2015_S2,1288,3021,0.7010907403109771,0.29890925968902293,350.8829043902376
2016,S1,326.49791803200003,317.428047756,2016_S1,1390,3023,0.6850215273056878,0.31497847269431223,320.28486164307003
2016,S2,339.24111715999993,345.09772279599997,2016_S2,1390,3023,0.6850215273056878,0.31497847269431223,343.2530180975998
2017,S1,359.1383482680001,361.62534611200005,2017_S1,1363,3195,0.700965335673541,0.299034664326459,360.8816475465389
2017,S2,349.9666161600001,353.8354587000001,2017_S2,1363,3195,0.700965335673541,0.299034664326459,352.67854066971927
2018,S1,372.4628949679999,379.3305564359999,2018_S1,1428,3450,0.7072570725707257,0.2927429274292743,377.3200971132643
2018,S2,391.0690324639999,412.2427402319999,2018_S2,1428,3450,0.7072570725707257,0.2927429274292743,406.04428703546364
2019,S1,375.0701205916667,394.2503189208334,2019_S1,1416,3617,0.718656864693026,0.28134313530697397,388.8541017870961
2019,S2,386.67953079600005,402.69734639600006,2019_S2,1416,3617,0.718656864693026,0.28134313530697397,398.1908439343271
2020,S1,348.39519482000003,365.317176924,2020_S1,1100,3223,0.7455470737913485,0.25445292620865145,361.0113290603868
2020,S2,368.240545576,374.45703664,2020_S2,1100,3223,0.7455470737913485,0.25445292620865145,372.87523229801525
2021,S1,417.82476804583325,424.5804643041666,2021_S1,1240,3548,0.7410192147034252,0.25898078529657476,422.8308687819583
2021,S2,466.70495033199995,468.6791251519999,2021_S2,1240,3548,0.7410192147034252,0.25898078529657476,468.1678518068036
2022,S1,481.234022552,516.2708624040001,2022_S1,1393,3840,0.7338047009363654,0.2661952990636346,506.94422034135226
2022,S2,526.9699742307695,642.2160373269234,2022_S2,1393,3840,0.7338047009363654,0.2661952990636346,611.5380770951361
2023,S1,601.9017904384616,610.9310189961539,2023_S1,1300,3530,0.7308488612836439,0.2691511387163561,608.5007918481207
2023,S2,608.4329679538464,627.1381421500002,2023_S2,1300,3530,0.7308488612836439,0.2691511387163561,622.1036232152176
2024,S1,607.6673932703351,626.5595458273976,2024_S1,1300,3530,0.7308488612836439,0.2691511387163561,621.4747014538611
2024,S2,612.2551733333333,621.1157533333334,2024_S2,1300,3530,0.7308488612836439,0.2691511387163561,618.730918136646
