id,parent_id
73,M
52,H
51,H
11,C
86,Q
50,H
87,Q
49,H
88,Q
19,C
64,K
24,C
68,L
16,C
90,R
91,R
92,R
93,R
94,S
95,S
47,G
96,S
20,C
75,M
21,C
10,C
66,K
97,T
98,T
85,P
69,M
12,C
63,J
28,C
74,M
60,J
59,J
77,N
15,C
72,M
22,C
58,J
71,M
78,N
62,J
61,J
79,N
14,C
80,N
23,C
56,I
9,B
82,N
55,I
18,C
70,M
84,O
13,C
53,H
25,C
17,C
81,N
65,K
99,U
27,C
45,G
6,B
37,E
43,F
5,B
42,F
33,C
3,A
35,D
39,E
36,E
38,E
26,C
2,A
41,F
7,B
31,C
32,C
1,A
8,B
46,G
29,C
30,C
